GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,TS
6.011963,19.424438,11.917114,0.09765625,0.09790039,-1.0305176,-0.23364258,0.005493164,0.43432617,82
20.29419,41.488647,10.116577,0.064453125,0.10253906,-1.0161133,-0.23364258,0.005493164,0.43432617,83
13.031006,38.513184,10.848999,0.068359375,0.11010742,-1.0205078,-0.234375,0.0043945312,0.4350586,84
2.5482178,45.318604,1.5716553,0.09326172,0.06640625,-1.0014648,-0.234375,0.0043945312,0.4350586,85
-49.575806,38.589478,-9.185791,0.15014648,0.10839844,-0.9760742,-0.23071289,-0.00036621094,0.4383545,86
-5.584717,39.96277,-17.227173,0.11376953,0.072509766,-1.0478516,-0.23071289,-0.00036621094,0.4383545,87
22.04895,26.229858,12.786865,0.064453125,0.013183594,-1.092041,-0.23071289,-0.00036621094,0.4383545,88
47.409058,-44.281006,39.29138,0.17211914,-0.0048828125,-1.1635742,-0.24206543,-0.010253906,0.4383545,89
-47.302246,-55.786133,-24.56665,0.106933594,0.115478516,-0.9836426,-0.24206543,-0.010253906,0.4383545,90
-77.57568,-88.912964,-11.413574,0.123535156,0.072021484,-1.0761719,-0.22851562,0.008422852,0.43579102,91
-25.344849,-47.76001,10.543823,0.091308594,0.015625,-1.0085449,-0.22851562,0.008422852,0.43579102,92
-9.155273,-16.25061,34.65271,0.06542969,-0.011962891,-1.0175781,-0.22851562,0.008422852,0.43579102,93
-3.326416,16.326904,18.737793,0.06201172,0.013427734,-1.0019531,-0.21057129,0.033325195,0.43762207,94
39.07776,45.639038,18.203735,0.11352539,0.018310547,-0.97924805,-0.21057129,0.033325195,0.43762207,95
38.04016,34.92737,15.289307,0.12890625,0.038085938,-1.0214844,-0.21972656,0.025268555,0.43945312,96
24.917603,15.167236,36.743164,0.061035156,-0.005859375,-1.0410156,-0.21972656,0.025268555,0.43945312,97
14.953613,14.450073,32.50122,0.09887695,0.037109375,-1.0275879,-0.21972656,0.025268555,0.43945312,98
4.6081543,-5.6762695,31.921387,0.072021484,0.034179688,-1.0422363,-0.2244873,0.01940918,0.43981934,99
17.837524,5.9661865,28.244019,0.061523438,0.020263672,-1.0324707,-0.2244873,0.01940918,0.43981934,100
26.626587,21.560669,10.406494,0.06689453,0.025146484,-1.0249023,-0.21643066,0.024536133,0.4449463,101
25.375366,34.75952,-6.713867,0.08081055,0.036376953,-1.0119629,-0.21643066,0.024536133,0.4449463,102
26.672363,33.218384,-2.4719238,0.12768555,0.0690918,-1.0158691,-0.21643066,0.024536133,0.4449463,103
22.888184,15.655518,8.758545,0.16601562,0.11230469,-1.0061035,-0.21862793,0.013549805,0.4456787,104
1.3885498,-12.359619,45.318604,0.1875,0.011962891,-1.0356445,-0.21862793,0.013549805,0.4456787,105
11.917114,-21.621704,78.689575,0.18920898,-0.020019531,-1.0483398,-0.23474121,-0.012084961,0.4489746,106
31.356812,2.8533936,-12.619019,0.08203125,0.083496094,-1.0373535,-0.23474121,-0.012084961,0.4489746,107
12.466431,-17.593384,-74.93591,0.14086914,0.052490234,-1.0498047,-0.23474121,-0.012084961,0.4489746,108
38.2843,-10.513306,-105.92651,0.19677734,0.022216797,-1.0437012,-0.24243164,-0.016845703,0.45043945,109
49.331665,-11.276245,-139.80103,0.171875,0.034179688,-1.0581055,-0.24243164,-0.016845703,0.45043945,110
97.32056,34.13391,-138.85498,0.114990234,0.099121094,-1.0297852,-0.2244873,0.0040283203,0.45007324,111
174.22485,123.82507,-85.632324,0.053466797,0.2253418,-1.0129395,-0.2244873,0.0040283203,0.45007324,112
229.88892,183.65479,-24.032593,-0.041748047,0.24243164,-1.0378418,-0.2244873,0.0040283203,0.45007324,113
319.41223,288.78784,-49.865723,-0.0009765625,0.23242188,-1.0942383,-0.20617676,0.0007324219,0.4482422,114
365.3717,351.3031,-42.800903,-0.0793457,0.26416016,-1.137207,-0.20617676,0.0007324219,0.4482422,115
473.1903,451.00403,48.721313,-0.23291016,0.3527832,-1.1950684,-0.20617676,-0.016113281,0.44970703,116
499.9237,499.9237,235.54993,-0.34326172,0.49267578,-1.322998,-0.17248535,-0.016113281,0.44970703,117
499.9237,499.9237,381.2256,-0.35595703,0.62280273,-1.345459,-0.17248535,-0.016113281,0.44970703,118
499.9237,499.9237,441.98608,-0.3100586,0.6911621,-1.4621582,-0.12414551,-0.056762695,0.44421387,119
499.9237,499.9237,445.00732,-0.23046875,0.78222656,-1.5202637,-0.12414551,-0.056762695,0.44421387,120
499.9237,499.9237,436.3098,-0.22045898,0.84399414,-1.5092773,-0.12414551,-0.056762695,0.40942383,121
499.9237,499.9237,367.99622,-0.30566406,0.8557129,-1.5288086,-0.059326172,-0.095581055,0.40942383,122
499.9237,499.9237,284.0271,-0.41967773,0.9333496,-1.5021973,-0.059326172,-0.095581055,0.40942383,123
499.9237,499.9237,213.62305,-0.6491699,1.1948242,-1.5913086,0.021972656,-0.114990234,0.33947754,124
499.9237,499.9237,499.9237,-1.060791,1.8129883,-1.4558105,0.09411621,-0.10290527,0.21936035,126
499.9237,499.9237,499.9237,-1.1669922,2.1560059,-1.2941895,0.09411621,-0.10290527,0.21936035,127
499.9237,499.9237,499.9237,-1.0957031,2.1879883,-1.123291,0.09411621,-0.10290527,0.21936035,128
499.9237,499.9237,442.70325,-0.91430664,1.8605957,-0.7988281,0.103271484,-0.060791016,0.04321289,129
499.9237,499.9237,402.5421,-0.49121094,1.5661621,-0.46679688,0.103271484,-0.060791016,0.04321289,130
499.9237,499.9237,88.37891,0.3515625,0.95532227,0.607666,-0.0040283203,-0.028198242,-0.07946777,132
499.9237,499.9237,-101.501465,0.4560547,0.673584,0.9777832,-0.0040283203,-0.028198242,-0.07946777,133
499.9237,177.73438,-218.03284,0.4243164,0.6381836,1.0666504,-0.08276367,0.020874023,-0.10510254,134
499.9237,-184.61609,-47.668457,0.11352539,0.68847656,0.8991699,-0.08276367,0.020874023,-0.10510254,135
484.35974,-463.83667,178.75671,-0.15332031,0.8449707,0.7355957,-0.08276367,0.020874023,-0.10510254,136
229.84314,-500,380.46265,-0.1616211,0.7233887,0.59228516,-0.0501709,0.087524414,-0.08239746,137
79.8645,-500,395.26367,0.005859375,0.43603516,0.5966797,-0.0501709,0.087524414,-0.08239746,138
10.284424,-500,336.77673,0.23046875,0.24511719,0.6442871,0.025268555,0.14904785,-0.034423828,139
-35.507202,-500,284.77478,0.3239746,0.16357422,0.5944824,0.025268555,0.14904785,-0.034423828,140
-166.36658,-500,299.469,0.27392578,0.11645508,0.4111328,0.025268555,0.14904785,-0.034423828,141
-358.1848,-500,358.87146,0.14697266,0.084228516,0.26293945,0.08898926,0.18896484,0.024536133,142
-500,-500,398.20862,0.017333984,0.04663086,0.21801758,0.08898926,0.18896484,0.024536133,143
-500,-500,433.70056,-0.10473633,0.0078125,0.2763672,0.12670898,0.22009277,0.07763672,144
-500,-500,484.92432,-0.16357422,0.022216797,0.35717773,0.12670898,0.22009277,0.07763672,145
-495.42236,-500,499.9237,-0.13476562,0.08129883,0.40478516,0.12670898,0.22009277,0.07763672,146
-427.78015,-371.56677,499.9237,-0.14624023,0.005126953,0.37524414,0.13513184,0.25195312,0.1003418,147
-418.2129,-284.89685,499.9237,-0.09057617,-0.061767578,0.31225586,0.13513184,0.25195312,0.1003418,148
-452.7893,-216.61377,499.9237,0.032470703,-0.09277344,0.26000977,0.11279297,0.27612305,0.09741211,149
-477.27966,-151.90125,470.1996,0.10180664,-0.13500977,0.25146484,0.11279297,0.27612305,0.09741211,150
-453.43018,-105.651855,415.84778,0.15185547,-0.14526367,0.28930664,0.11279297,0.27612305,0.09741211,151
-393.96667,-57.113647,393.0359,0.1508789,-0.13110352,0.35595703,0.08166504,0.2878418,0.08496094,152
