GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,TS
2.6397705,0.24414062,-4.837036,-0.23046875,0.03881836,0.9719238,-0.0637207,-0.033325195,-0.12158203,210
0.4119873,0.5187988,-2.243042,-0.23120117,0.030273438,0.9848633,-0.0637207,-0.033325195,-0.12158203,211
4.4555664,5.7373047,-0.76293945,-0.23901367,0.01977539,0.99194336,-0.06225586,-0.029296875,-0.12451172,212
10.1623535,12.34436,1.7089844,-0.24633789,0.01171875,0.98828125,-0.06225586,-0.029296875,-0.12451172,213
13.671875,14.3585205,3.3874512,-0.25219727,0.013427734,0.9733887,-0.06225586,-0.029296875,-0.12524414,214
13.183594,9.70459,3.90625,-0.24926758,0.017578125,0.95214844,-0.06262207,-0.032226562,-0.12524414,215
14.266968,-0.015258789,2.6397705,-0.24731445,0.021484375,0.9379883,-0.06262207,-0.032226562,-0.12524414,216
17.25769,-3.9520264,-0.61035156,-0.24853516,0.02734375,0.9296875,-0.0637207,-0.032592773,-0.12194824,217
23.208618,-5.9051514,-5.1879883,-0.25146484,0.031982422,0.9211426,-0.0637207,-0.032592773,-0.12194824,218
27.282715,-4.1503906,-4.043579,-0.26049805,0.029541016,0.9169922,-0.0637207,-0.029663086,-0.12487793,219
24.505615,-0.1373291,-0.39672852,-0.26904297,0.021484375,0.9189453,-0.0637207,-0.029663086,-0.12487793,220
16.464233,3.753662,3.3416748,-0.2697754,0.016601562,0.92041016,-0.0637207,-0.029663086,-0.12487793,221
9.94873,4.547119,1.9836426,-0.2619629,0.0234375,0.91748047,-0.064086914,-0.029296875,-0.12597656,222
12.512207,2.7008057,-3.692627,-0.2512207,0.030517578,0.9128418,-0.064086914,-0.029296875,-0.12597656,223
18.02063,4.1656494,-8.590698,-0.2487793,0.029541016,0.9116211,-0.064086914,-0.029296875,-0.12597656,224
22.232056,7.507324,-10.070801,-0.25463867,0.022216797,0.91186523,-0.060791016,-0.029296875,-0.122680664,225
23.94104,10.101318,-7.6904297,-0.25952148,0.014404297,0.90405273,-0.060791016,-0.029296875,-0.122680664,226
23.05603,6.729126,-3.5705566,-0.265625,0.008300781,0.8925781,-0.060791016,-0.028930664,-0.12670898,227
20.690918,-2.4414062,0.50354004,-0.2692871,0.005126953,0.8847656,-0.060791016,-0.028930664,-0.12670898,228
18.844604,-11.077881,3.5247803,-0.26660156,0.00390625,0.8886719,-0.060791016,-0.028930664,-0.12670898,229
11.932373,-15.197754,7.4768066,-0.25854492,0.000976563,0.90478516,-0.06298828,-0.02709961,-0.12487793,230
14.862061,-14.633179,12.466431,-0.25341797,-0.011474609,0.9189453,-0.06298828,-0.02709961,-0.12487793,231
15.106201,-11.169434,16.662598,-0.25878906,-0.026855469,0.92089844,-0.060424805,-0.022338867,-0.1237793,232
12.710571,-8.285522,20.339966,-0.26782227,-0.036621094,0.91552734,-0.060424805,-0.022338867,-0.1237793,233
9.277344,-11.276245,24.368286,-0.2692871,-0.033447266,0.90722656,-0.060424805,-0.022338867,-0.1237793,234
8.163452,-20.614624,27.20642,-0.2644043,-0.026855469,0.9020996,-0.060424805,-0.020874023,-0.119018555,235
8.453369,-30.838013,25.665283,-0.25219727,-0.014404297,0.9082031,-0.060424805,-0.020874023,-0.119018555,236
13.122559,-36.43799,19.77539,-0.23632812,-0.007324219,0.92456055,-0.053833008,-0.017944336,-0.12084961,237
20.126343,-30.303955,19.195557,-0.22753906,-0.0078125,0.9484863,-0.053833008,-0.017944336,-0.12084961,238
26.062012,-14.907837,9.521484,-0.22729492,-0.005126953,0.9699707,-0.053833008,-0.017944336,-0.12084961,239
28.366089,0.9613037,5.493164,-0.22753906,0.006103516,0.97558594,-0.048339844,-0.012817383,-0.11975098,240
27.938843,7.9956055,4.3029785,-0.22729492,0.014648438,0.967041,-0.048339844,-0.012817383,-0.11975098,241
23.605347,8.346558,2.1362305,-0.22998047,0.022949219,0.95996094,-0.049438477,-0.008056641,-0.1237793,242
19.16504,5.1574707,0.030517578,-0.23706055,0.029296875,0.9609375,-0.049438477,-0.008056641,-0.1237793,243
20.904541,4.6844482,-2.2583008,-0.24487305,0.025146484,0.95947266,-0.049438477,-0.008056641,-0.1237793,244
25.512695,1.6021729,-1.9683838,-0.24780273,0.017578125,0.95458984,-0.048339844,-0.009521484,-0.12634277,245
29.678345,4.7454834,0.16784668,-0.25512695,0.011962891,0.96484375,-0.048339844,-0.009521484,-0.12634277,246
30.914307,10.421753,4.4555664,-0.2607422,0.002929688,0.9765625,-0.049804688,-0.005493164,-0.12634277,247
34.622192,8.69751,11.306763,-0.2644043,-0.010742188,0.9663086,-0.049804688,-0.005493164,-0.12634277,248
43.70117,3.7231445,16.784668,-0.2644043,-0.018310547,0.94140625,-0.049804688,-0.005493164,-0.12634277,249
50.811768,-12.237549,15.213013,-0.2607422,-0.017822266,0.921875,-0.053100586,-0.00402832,-0.1270752,250
52.749634,-20.27893,12.756348,-0.25585938,-0.017822266,0.9152832,-0.053100586,-0.00402832,-0.1270752,251
54.80957,-26.870728,7.965088,-0.2512207,-0.018554688,0.91430664,-0.048706055,-0.006591797,-0.12963867,252
59.4635,-24.612427,4.7302246,-0.2512207,-0.022216797,0.9199219,-0.048706055,-0.006591797,-0.12963867,253
65.36865,-18.218994,4.4555664,-0.26586914,-0.03930664,0.91381836,-0.048706055,-0.006591797,-0.12963867,254
74.75281,-14.572144,2.0141602,-0.28808594,-0.06933594,0.8881836,-0.049072266,0.001464844,-0.122680664,255
81.451416,-17.730713,1.2664795,-0.30810547,-0.095458984,0.86035156,-0.049072266,0.001464844,-0.122680664,0
68.51196,-29.830933,4.4555664,-0.31396484,-0.11450195,0.83618164,-0.049072266,0.001464844,-0.12561035,1
51.986694,-46.310425,21.621704,-0.31079102,-0.122558594,0.84399414,-0.051635742,0.006958008,-0.12561035,2
45.303345,-52.15454,35.736084,-0.2956543,-0.119140625,0.89208984,-0.051635742,0.006958008,-0.12561035,3
52.39868,-50.598145,54.4281,-0.27124023,-0.09692383,0.9499512,-0.039916992,0.01977539,-0.12158203,4
66.74194,-42.86194,61.065674,-0.24804688,-0.071777344,0.9758301,-0.039916992,0.01977539,-0.12158203,5
75.0885,-34.820557,58.670044,-0.23608398,-0.06689453,0.96606445,-0.039916992,0.01977539,-0.11791992,6
70.15991,-31.204224,54.489136,-0.22973633,-0.07299805,0.95043945,-0.034057617,0.025634766,-0.11791992,7
55.633545,-25.268555,47.531128,-0.22924805,-0.08081055,0.9436035,-0.034057617,0.025634766,-0.11791992,8
53.81775,-26.794434,36.209106,-0.2434082,-0.095703125,0.94677734,-0.033691406,0.032592773,-0.119384766,9
61.035156,-28.015137,31.433105,-0.26098633,-0.10180664,0.95410156,-0.033691406,0.032592773,-0.119384766,10
67.0166,-28.533936,31.829834,-0.2758789,-0.09863281,0.96191406,-0.033691406,0.032592773,-0.119384766,11
67.39807,-29.281616,30.441284,-0.2854004,-0.09301758,0.9707031,-0.029296875,0.0435791,-0.118652344,12
70.60242,-31.051636,27.359009,-0.29296875,-0.09375,0.97314453,-0.029296875,0.0435791,-0.118652344,13
72.891235,-29.037476,17.501831,-0.3017578,-0.103759766,0.9797363,-0.023803711,0.047607422,-0.115722656,14
65.30762,-25.787354,6.713867,-0.31030273,-0.13867188,0.9885254,-0.023803711,0.047607422,-0.115722656,15
61.09619,-19.882202,-9.58252,-0.32250977,-0.17138672,1.0056152,-0.023803711,0.047607422,-0.115722656,16
66.17737,-13.73291,-32.01294,-0.3310547,-0.1977539,1.019043,-0.01940918,0.05493164,-0.111694336,17
75.51575,-6.378174,-54.260254,-0.33740234,-0.22045898,1.0097656,-0.01940918,0.05493164,-0.111694336,18
88.72986,-4.0893555,-73.47107,-0.35058594,-0.24926758,0.96777344,-0.017578125,0.05126953,-0.10583496,19
102.5238,-4.7302246,-77.10266,-0.36157227,-0.27978516,0.90527344,-0.017578125,0.05126953,-0.10583496,20
108.58154,-8.926392,-67.82532,-0.36450195,-0.29882812,0.85791016,-0.017578125,0.05126953,-0.10583496,21
102.18811,-11.672974,-49.240112,-0.35791016,-0.3095703,0.84228516,-0.01940918,0.057128906,-0.10510254,22
96.343994,-15.258789,-22.750854,-0.34448242,-0.31323242,0.8413086,-0.01940918,0.057128906,-0.10510254,23
99.65515,-20.446777,2.0751953,-0.33007812,-0.3005371,0.84228516,-0.010620117,0.064819336,-0.10546875,24
100.43335,-25.939941,29.205322,-0.32080078,-0.27856445,0.85302734,-0.010620117,0.064819336,-0.10546875,25
87.677,-32.77588,44.204712,-0.3149414,-0.25341797,0.88061523,-0.010620117,0.064819336,-0.10546875,26
73.88306,-36.987305,48.27881,-0.31762695,-0.23632812,0.9057617,-0.000366211,0.075805664,-0.10510254,27
67.0166,-38.45215,36.849976,-0.32250977,-0.21582031,0.91748047,-0.000366211,0.075805664,-0.10510254,28
63.171387,-35.598755,18.28003,-0.3227539,-0.19189453,0.9260254,0.002563477,0.08129883,-0.1003418,29
58.929443,-29.159546,-0.7171631,-0.3161621,-0.1772461,0.9326172,0.002563477,0.08129883,-0.1003418,30
62.74414,-19.927979,-16.723633,-0.30395508,-0.16113281,0.94140625,0.002563477,0.08129883,-0.1003418,31
70.98389,-11.077881,-33.859253,-0.29101562,-0.14624023,0.95410156,0.009521484,0.08532715,-0.0970459,32
74.81384,-0.9765625,-51.132202,-0.2878418,-0.1484375,0.95874023,0.009521484,0.08532715,-0.0970459,33
79.28467,7.293701,-63.2782,-0.29077148,-0.1652832,0.95043945,0.012084961,0.08532715,-0.10180664,34
84.39636,12.191772,-66.61987,-0.29492188,-0.18188477,0.92700195,0.012084961,0.08532715,-0.10180664,35
82.214355,14.007568,-65.29236,-0.30444336,-0.19726562,0.90722656,0.012084961,0.08532715,-0.10180664,36
74.35608,12.252808,-64.11743,-0.32055664,-0.21411133,0.88671875,0.010253906,0.08459473,-0.09448242,37
69.83948,7.965088,-59.188843,-0.33203125,-0.2253418,0.87158203,0.010253906,0.08459473,-0.09448242,38
66.43677,0.19836426,-49.697876,-0.33496094,-0.22021484,0.861084,0.009887695,0.083862305,-0.09851074,39
62.11853,-9.399414,-36.8042,-0.3334961,-0.20800781,0.8581543,0.009887695,0.083862305,-0.09851074,40
51.26953,-24.475098,-22.018433,-0.27270508,-0.22192383,0.9135742,0.013916016,0.08862305,-0.099243164,44
47.561646,-25.787354,-18.52417,-0.2631836,-0.2512207,0.89990234,0.013916016,0.08862305,-0.099243164,45
40.161133,-31.845093,-9.765625,-0.2548828,-0.26904297,0.88842773,0.013916016,0.08862305,-0.099243164,46
35.7666,-40.81726,4.623413,-0.24926758,-0.27319336,0.89038086,0.014648438,0.087524414,-0.09301758,47
36.43799,-47.62268,30.441284,-0.24169922,-0.26049805,0.90112305,0.014648438,0.087524414,-0.09301758,48
38.742065,-49.453735,49.362183,-0.22875977,-0.2319336,0.9111328,0.014648438,0.087524414,-0.09338379,49
40.039062,-43.5791,62.39319,-0.20751953,-0.19384766,0.921875,0.017944336,0.09338379,-0.09338379,50
33.00476,-28.244019,65.03296,-0.19067383,-0.16308594,0.9367676,0.017944336,0.09338379,-0.09338379,51
